# source: CEPII BACI HS17 V202601, year 2024 (via data/processed/baci_2024_hs6.parquet)
# pulled: 2026-07-30
# license: Etalab 2.0
# script: analysis/20_multigraph.py
# unit: *_kusd values are THOUSANDS of current USD (BACI native 'v'); USD = kusd * 1e3
# note: Taiwan = BACI code 490 'Other Asia, nes', recoded to TWN (iso3_recode)
# note: de minimis 1.0 kUSD on layer edges; HHI on 0..10,000 scale;
#       betweenness distance = 1/ln(1+v_kusd); eigenvector on undirected projection
# layer = batteries; HS6 codes (10): 282520,283691,850710,850720,850730,850740,850750,850760,850780,850790
exporter_iso3,importer_iso3,value_kusd
CHN,USA,17820506.397
CHN,DEU,12988485.937
CHN,KOR,5534045.765
CHN,VNM,4106231.716
POL,DEU,3172892.68
KOR,USA,3112215.71
CHN,JPN,3067226.091
HUN,DEU,3064944.994
CHN,IND,2692975.134
USA,MEX,2403046.015
CZE,DEU,2387767.464
JPN,USA,2229526.459
CHL,CHN,2027652.828
CHN,NLD,1930798.496
CHN,GBR,1921605.646
USA,CAN,1883905.728
CHN,HKG,1883773.696
CHN,CZE,1822951.983
CHN,FRA,1802274.54
CHN,AUS,1789502.618
MEX,USA,1788268.262
HUN,USA,1257992.827
CHN,SWE,1185760.726
CHN,POL,1159227.367
CAN,USA,1116043.904
CHN,ESP,1054684.916
USA,AUS,1017101.352
POL,FRA,1010949.019
DEU,USA,982628.353
CHN,FIN,933411.872
CHN,TWN,932797.321
CHN,ITA,867531.982
VNM,USA,846502.874
CHN,MEX,824387.767
CHN,CAN,807139.443
POL,USA,804399.834
CHN,TUR,709216.711
CHN,SAU,700717.276
MYS,USA,672063.038
CHN,UKR,665742.018
CHN,HUN,635420.107
CHN,BRA,605193.34
CHN,MYS,598627.383
CHN,BEL,595900.489
CHN,THA,593325.247
VNM,AUS,579938.908
DEU,FRA,579235.727
CHN,IDN,578714.884
FIN,DEU,577810.154
DEU,CHN,569593.512
CHN,CHL,567468.63
KOR,CHN,556928.377
POL,CZE,555294.481
DEU,POL,526233.807
IDN,KOR,508648.089
CHN,RUS,495625.73
CHL,KOR,493836.874
CHN,ZAF,477502.083
KOR,JPN,475880.245
DEU,CZE,467219.066
HUN,MEX,446991.252
CHN,AUT,446681.179
KOR,DEU,436943.0
DEU,ESP,432744.722
CHN,ARE,417630.364
KOR,VNM,417308.533
ARG,CHN,408985.085
HUN,BEL,403983.896
DEU,ITA,396075.896
